cluster,topic,dept,n,sample,prominence,dept_counts
Interconnections of Economic Growth and Environmental Impact,Long Memory Dynamics in Time Series Volatility,Ilmu Komputer dan Elektronika,2,"[""Automatic forecasting for univariate time series with long memory property"", ""Weekly Forecast Indonesian Currency During Ramadan""]",99.3,"{""Ilmu Komputer dan Elektronika"": 1, ""Matematika"": 1}"
Interpersonal Relations and Mental Health in Youth,Cyberbullying Detection in Social Media Networks,Fisika,2,"[""Sentiment Analysis of Cyberbullying Using Machine Learning"", ""Enhanced Deep Learning Model for Violence, Racist, and Harassment Chat Detection in Child-Friendly Online Game""]",78.2,"{""Fisika"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Interplay of Personality Traits and Cognitive Function,Personality Prediction through Social Media Insights,Ilmu Komputer dan Elektronika,2,"[""The Performance of Personality-based Recommender System for Fashion with Demographic Data-based Personality Prediction"", ""Modeling of Personality Traits based on Demographic Data on Multi-Races Samples of Ages from 13 to 50 Years Old: Investigating the Effect of Race on Model""]",65.7,"{""Ilmu Komputer dan Elektronika"": 2}"
Invasive Fungal Infections and Antifungal Resistance,Candida Management in Denture Wearers' Oral Health,Kimia,2,"[""The effect of ZnO nanoparticles addition to PMMA on surface contact angle and adhesion of Candida albicans"", ""The potency of Actinomycetes InaCC A758 against dual-species biofilms: Candida albicans and Staphylococcus aureus""]",78.9,"{""Kimia"": 2}"
Investment Strategies and Financial Structures in Banking,Deposit Insurance Systems and Bank Risk Management,Matematika,2,"[""Deposit Insurance Price Using Modified Option Approach Based on Variance-Gamma Process"", ""Valuing Fruit Tree Lease Contracts Under Uncertainty: A Probabilistic Framework for Fair Pricing""]",86.2,"{""Matematika"": 1, ""Belum terpetakan"": 1}"
Landslide Susceptibility and Risk Management Framework,Landslide Susceptibility Mapping and Risk Assessment,Ilmu Komputer dan Elektronika,2,"[""A benchmark dataset and workflow for landslide susceptibility zonation"", ""Application of numerical simulation method integrated SfM-UAV to tsunami hazard map in Jailolo""]",86.4,"{""Ilmu Komputer dan Elektronika"": 1, ""Fisika"": 1}"
Malnutrition and Growth Patterns in Children,Addressing Child Malnutrition and Nutritional Status,Fisika,2,"[""Web-based Software Development for Complementary Feeding Recommendation System (EasyMPASI) Using Rule-Based Reasoning"", ""Facial Shape Image-Based Stunting Classification using CNN with Sliced Feature Extraction""]",61.4,"{""Fisika"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Market Dynamics in Cooperative Auctions and Games,Nash Equilibrium and Comparative Statics in Oligopoly,Matematika,2,"[""Analysis of a Single Manufacturer Multi-Retailer Inventory Competition Using Supermodular Multi-Objective Games"", ""Analysis of the n-person noncooperative supermodular multiobjective games""]",34.9,"{""Matematika"": 1, ""Kimia"": 1}"
Mechanical Properties and Fluid Dynamics in Drilling,Mechanochemical Innovations in Polymer Materials,Kimia,2,"[""Planarization of Twisted Push–Pull Probes by Stretching Rather than by Compression: Core-Substituted Fluorescent Flippers as Materials Mechanosensors"", ""Characterization and Rheological Improvement of Boyolali White Bentonite with Soda Ash and Carboxy Methyl Cellulose""]",66.9,"{""Kimia"": 1, ""Matematika"": 1}"
Mechanical Properties of Natural Fiber Composites,Innovative Degumming Techniques for Natural Fibers,Fisika,2,"[""An analysis of ramie fiber (Boehmeria nivea L. Gaud) treated with low temperature plasma using a mathematical model"", ""Biomechanical surface roughness analysis of ramie-low melt polyester nonwovens exposed to plasma""]",88.5,"{""Fisika"": 2}"
Mechanical Ventilation and Acute Lung Injury Management,Open-Source Mechanical Ventilators for Global Health,Ilmu Komputer dan Elektronika,2,"[""Securing Ventilators: Integrating Hardware Security Modules with SoftHSM and Cryptographic Algorithms"", ""A review of using data mining and machine learning for predicting drug loading modeling in solid lipid nanoparticles containing curcumin""]",62.5,"{""Ilmu Komputer dan Elektronika"": 2}"
Melatonin's Influence on Circadian Rhythms and Stress Response,Pupillary Responses as Indicators of Cognitive Load,Ilmu Komputer dan Elektronika,2,"[""Anisotropy in the peripheral visual field based on pupil response to the glare illusion"", ""Brightness Perception in World-Centered Coordinates Assessed by Pupillometry""]",85.3,"{""Ilmu Komputer dan Elektronika"": 2}"
Mental Health Impacts of COVID-19 Pandemic,Mobile Technology in Mental Health Interventions,Kimia,2,"[""Security and Privacy Policy Assessment in Mobile Health Applications: A Literature Review"", ""Identifying Key Psychological, Biological, Lifestyle, and Social Risk Factors for Mental Health using Random Forest and Gradient Boosting Models""]",89.6,"{""Kimia"": 1, ""Matematika"": 1}"
Metabolic and Hormonal Dynamics in PCOS Management,Machine Learning Applications in Polycystic Ovary Syndrome Detection,Ilmu Komputer dan Elektronika,2,"[""Active contour without edge and watershed for follicle detection in ultrasound image of ovary"", ""Follicle Detection Model on Ovarian Ultrasound Image""]",65.0,"{""Ilmu Komputer dan Elektronika"": 1, ""Matematika"": 1}"
Microbial Solutions for Hydrocarbon Biodegradation,Phytoremediation Techniques for Hydrocarbon Contaminated Soils,Kimia,2,"[""Analysis of Petroleum Products Spill Potential Impact (Gasoline and Diesel Fuels) on Soil Fertility Quality Around Pertamina Rewulu-Cilacap Pipeline Bantul-Yogyakarta"", ""Impact of Cations and Implicit Solvent on the Sensitivity of the Enol Tautomers of 3-Nitro-1,2,4-Triazole-5-One: A DFT Study""]",80.9,"{""Kimia"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Neutrinos and Dark Matter Phenomena,the Mirror World of Dark Matter,Matematika,2,"[""The phenomenology of sphaleron in modified mirror model"", ""Asymmetric reheating in the mirror model""]",53.0,"{""Matematika"": 1, ""Kimia"": 1}"
Nutritional Enhancements in Aquaculture Feed Systems,Seaweed as a Source of Nutritional Innovation,Kimia,2,"[""First identification report for amino acid composition of red algae Gracilaria spp. obtained from Central Java, Indonesia"", ""Effect of adding nanoparticle magnetite (Fe3O4-NPs) and probiotics in feed on the growth performance of catfish (Clarias batrachus)""]",84.2,"{""Kimia"": 2}"
Object Recognition and Image Processing,Saliency Detection and Visual Attention,Ilmu Komputer dan Elektronika,2,"[""Troop camouflage detection based on deep action learning"", ""Fingerprint Liveness Detection Using Handcrafted Feature Descriptors and Neural Network""]",81.8,"{""Ilmu Komputer dan Elektronika"": 2}"
Optimization Models for Multidisciplinary Design Challenges,Bayesian Optimization in Learning Systems and Neural Networks,Matematika,2,"[""A weighted metric scalarization approach for multiobjective BOHB hyperparameter optimization in LSTM model for sentiment analysis"", ""Risk Measurement of Stocks Using Value at Risk with Johnson Transformation""]",53.2,"{""Matematika"": 1, ""Kimia"": 1}"
Optimized Logistics and Vehicle Routing Solutions,Optimization of Vehicle Routing and Loading Constraints,Fisika,2,"[""MedRoPax: A comprehensive software for solving heterogeneous vehicle routing problem with 3D loading constraints and cardboard box packing for medical supply distribution"", ""A Context-Aware Itinerary Recommendation Model Based on CBR with Auto-Revise and Multi-Clustered Data Modeling""]",93.0,"{""Fisika"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Organic Solar Cell Polymers,Graphene and Zinc Oxide in Solar Cell Innovation,Fisika,2,"[""Device modeling of two-dimensional hole transport materials for boosting the performance of non-fullerene acceptor bulk heterojunction organic solar cells"", ""First-principles study on structural and electronic properties of P3HT-graphene""]",88.2,"{""Fisika"": 2}"
Parallel Programming and Memory Systems,Performance Optimization in GPU Computing Systems,Ilmu Komputer dan Elektronika,2,"[""A simple cache coherence scheme for integrated CPU-GPU systems"", ""Online MPI process mapping for coordinating locality and memory congestion on NUMA systems""]",12.6,"{""Ilmu Komputer dan Elektronika"": 2}"
Photovoltaic Energy Systems and Storage,Innovative Systems for Spacecraft Communication and Design,Ilmu Komputer dan Elektronika,2,"[""Analysis of Premature CanSat Separation Caused by Barometric Sensor Noise"", ""Stability Improvement of a Multimachine Power System Connected with a Hybrid Wind-PV Farm-based High-capacity DC Microgrid Using a DSTATCOM""]",95.2,"{""Ilmu Komputer dan Elektronika"": 2}"
Plant Virus Resistance and RNA Mechanisms,Geminivirus Interactions and Plant Resistance Mechanisms,Fisika,2,"[""Gas chromatography-mass spectrometry analysis of compounds emitted by pepper yellow leaf curl virus-infected chili plants: A preliminary study"", ""RNA-seq data of banana bunchy top virus (BBTV) viruliferous and non-viruliferous banana aphid (Pentalonia nigronervosa)""]",37.4,"{""Fisika"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Plasmonic Nanoparticles in Surface-Enhanced Spectroscopy,Surface-Enhanced Raman Spectroscopy Developments and Optimization,Matematika,2,"[""Numerical Study of Electric Field Enhancement in Inverted-Pyramid Gold Arrays with Tunable Spacing"", ""A preliminary study on the selective detection of hypochlorite based on antiagregation of aunps""]",83.7,"{""Matematika"": 1, ""Kimia"": 1}"
Pool Boiling and Turbulent Flow Dynamics,Natural Dyes and Their Sustainable Textile Applications,Kimia,2,"[""Sustainable Cotton Dyeing with Banana Floral Stem Extract Using Microwave Irradiation and Chitosan Optimised by Response Surface Methodology"", ""Exploring the Flora of South Sulawesi, Forest Vegetation, and Karst Areas as Bundle Dyeing on Silk Fabrics""]",79.8,"{""Kimia"": 1, ""Fisika"": 1}"
Porphyrin and Phthalocyanine Complexes in Catalysis,BODIPY Compounds in Fluorescent Applications and Properties,Kimia,2,"[""Boron complexes of thiazole-bridged 1,5-bidentate nitrogen ligands: synthesis and acid-responsive photophysical properties"", ""Eco-friendly QCM sensor based on biochar-functionalized nanofibers for rapid and selective detection of hydrogen chloride gas""]",25.2,"{""Kimia"": 2}"
Power Conversion and Management,Multiport Converters for Renewable Energy Systems,Ilmu Komputer dan Elektronika,2,"[""Multiple Input Single Output Converter with Uneven Load Sharing Control for Improved Efficiency"", ""Fabrication and experimental study of transformer 400 V with a simple rectifier circuit design""]",77.9,"{""Ilmu Komputer dan Elektronika"": 1, ""Fisika"": 1}"
Precision Navigation Systems and Signal Processing,Very Long Baseline Interferometry Systems,Fisika,2,"[""Implementation of Allan Standard Deviation Technique in Stability Analysis of 4C31.61 Quasar Position"", ""Design and implementation of a compact RTK GNSS receiver module for centimeter-level positioning accuracy""]",49.4,"{""Fisika"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Preeclampsia and Prenatal Screening Innovations,Umbilical Cord Dynamics and Fetal Outcomes,Ilmu Komputer dan Elektronika,2,"[""Machine learning model for umbilical cord classification using combination coiling index and texture feature based on 2-D Doppler ultrasound images"", ""Amniotic fluid classification based on volume and echogenicity using single deep pocket and texture feature""]",64.8,"{""Ilmu Komputer dan Elektronika"": 2}"
Probiotics and Their Impact on Health,Lactobacillus Probiotics and Their Functional Proteins,Kimia,2,"[""Assessing the survival and ability of lactobacillus strains in coconut neera to bolster its suitability as a functional beverage after storage"", ""MODELING STRUCTURE OF Glucose-6-phosphate dehydrogenase FROM Leuconostoc mesenteroides STRAIN K7""]",89.3,"{""Kimia"": 2}"
Protein Emulsification and Functional Food Applications,Nutritional Benefits and Fermentation of Tempeh,Ilmu Komputer dan Elektronika,2,"[""Integration of low-cost multispectral sensors and electronic nose for enhanced fermentation monitoring in tempeh production"", ""Amino Acid Profile and Fortification Potential of Protein Fraction from Samanea saman Seed""]",96.4,"{""Ilmu Komputer dan Elektronika"": 1, ""Kimia"": 1}"
Quantum Spin Systems and Magnetic Phase Transitions,Magnetic Properties and Ground States in Pyrochlore Systems,Fisika,2,"[""Capturing the Interplay between Lattice Distortions and Magnetic Correlations in Nd2Ru2O7 Pyrochlore with Muon Spin Relaxation"", ""Deep Learning-Integrated Pairwise-Qubit Subsystems for Highly Efficient Quantum Circuit Simulation""]",43.8,"{""Fisika"": 1, ""Belum terpetakan"": 1}"
Queueing Models for Service System Optimization,Phase Type Distributions in Queueing Systems,Fisika,2,"[""Fitting acyclic phase-type distributions by orthogonal distance"", ""Efficiency evaluation of Geo/Geo/1 queue performance measure with priority using fuzzy data envelopment analysis""]",31.4,"{""Fisika"": 1, ""Matematika"": 1}"
Radiation Exposure and Health Risk Assessment,Optimizing Radiation Dose and Image Quality in CT,Fisika,2,"[""Fast CT imaging using limited projections: Performance analysis of FBP and SIRT-FBP reconstruction on a multi-material phantom"", ""Characterization of neutron-activated radionuclides in the biological shield of the TRIGA 2000 reactor using PHITS 3.34""]",20.2,"{""Fisika"": 2}"
Real-Time Systems and Network Communication Protocols,Middleware Innovations for Real-Time Distributed Systems,Belum terpetakan,2,"[""Prediction of Forest Fire Occurrence in Peatlands using Machine Learning Approaches"", ""Improving Machine Learning Prediction of Peatlands Fire Occurrence for Unbalanced Data Using SMOTE Approach""]",40.6,"{""Belum terpetakan"": 2}"
